question,answer
"안녕하세요. 네이버페이 분쟁조정센터입니다.

판매자님께 확인 요청할 내용이 있어 Q&A 남깁니다.

[주문정보]
구매자명: 서홍미
주문번호: 2023040627492661
상품주문번호: 2023040680103361

[요청사항]
답변 감사합니다.

보내주신 자료 확인하였으나 반품 배송비 금액에 대한 증빙 자료는 보내주지 않으신 것으로 확인되는데요.

반품 배송비 금액에 대한 증빙 자료도 메일을 통해 보내주시길 부탁드립니다.

반품 배송비에 대한 증빙 자료는 상품 페이지에 고지된 내용이 아닌 실제 발생한 금액을 확인할 수 있는 택배 영수증 등으로 제공해 주시길 부탁드립니다.

-메일 주소: help_paycsrm@naver.com
-메일 제목: 서홍미-니뜰리히

위 내용을 확인 후 회신 기간 내에 자세한 답변해주시길 바랍니다.

증빙 자료 보내주시면 이전에 답변해주신 내용은 안내하겠으나 구매자가 미수긍으로 소비자상담센터로 민원 접수하겠다고 할 경우 네이버페이는 결제 대금 보호의 의무가 있어 구매자 결제 금액에 대해 부득이하게 지급 보류되는 점 양해 부탁드립니다.

[민원처리기한] 2023년 5월 3일 오전 10시까지

만약, 기한 내 요청드린 민원이 해결되지 않거나 답변이 없으면 스마트스토어 이용약관 제21조(정산의 보류)에 따라 민원금액만큼 정산 지급보류 처리하겠습니다.

감사합니다",안녕하세요 메일을 통해 답변드렸습니다. 감사합니다
"리뷰이벤트 완료 했어요
페이백은 어떻게 받나요?
페이백 주시면 알려주세요","안녕하세요 고객님
페이백 문의는 톡톡으로 문의주시면 빠르게 처리 도와드리겠습니다!
감사합니다."
안녕하세요 일요일에 주문했는데 제가 수요일까지 꼭 받아야해서요ㅠㅠ 가능할까요??,안녕하세요 고객님 니뜰리히입니다. 해당 제품 방금 기사님이 수거해가셔서 금일 발송되셨습니다. 배송중 특이사항만 없다면 화요일에 받아보실 수 있으실 것 같습니다. 감사합니다.
세탁기  건조기 사용 가능한가요?,"안녕하세요 고객님
문의주신 상품 소재 특성상 물세탁을하면 수명이 단축될수있어 커버 세탁을 권장드리며. 물세탁을 원할시 미지근한 온도의 물에 울 세제를 풀어서 손세탁으로 충분히 세제를 헹궈준뒤 자연건조를 권장드립니다!
감사합니다."
40딥블루 언제입고되나요?,안녕하세요 고객님 니뜰리히입니다. 현재 여유재고가 조금 있어서 구매하실 수 있도록 열어드렸습니다!
지금 주문하면 수요일 오전에 받을수잇을까요? ㅜㅜ,안녕하세요 고객님 니뜰리히입니다. 주문해주신 제품 월요일에 발송될 예정입니다. 배송중 특이사항만 없다면 해당 날짜까지 받아보실 수 있으실 것으로 예상됩니다.
겉감만 따로 안 파시나요?,안녕하세요 고객님 니뜰리히입니다. 현재 커버는 별도로 판매하고 있지 않습니다. 감사합니다.
"안녕하세요. 네이버페이 분쟁조정센터입니다.

판매자님께 확인 요청할 내용이 있어 Q&A 남깁니다.

[주문정보]
구매자명: 서홍미
주문번호: 2023040627492661
상품주문번호: 2023040680103361

[요청사항]
답변 감사합니다.

보내주신 메일을 확인하였으나 첨부파일의 경우 로그인해야 하는 상황으로 증빙 자료를 볼 수 없습니다.

번거로우시겠지만 증빙 자료를 메일 자체 기능으로 첨부하여 다시 보내주시길 부탁드립니다.

무상 반품이 불가하다면 비용 조정은 어려우신지 다시 한번 검토 부탁드립니다.

위 내용에 대해 확인 후 회신 기간 내 답변 부탁드립니다.

답변 내용은 안내하겠으나 구매자가 미수긍으로 소비자상담센터로 민원 접수하겠다고 할 경우 네이버페이는 결제 대금 보호의 의무가 있어 구매자 결제 금액에 대해 부득이하게 지급 보류되는 점 양해 부탁드립니다.

[민원처리기한] 2023년 5월 2일 오전 10시까지

만약, 기한 내 요청드린 민원이 해결되지 않거나 답변이 없으면 스마트스토어 이용약관 제21조(정산의 보류)에 따라 민원금액만큼 정산 지급보류 처리하겠습니다.

감사합니다","안녕하세요 니뜰리히입니다.
답변내용 메일로 다시 첨부했습니다.
감사합니다."
"학교에서 200개 주문하려고 합니다.
전화가 연결이 안되어서 문의 작성하는데요
1. 200개이다 보니까 학급별 인원 알려드리면 10개 상자로 나눠 주실수 있는지 궁금하고요.
2. 안될거 같기는 하지만 ^^ 혹시 키홀더 몇 개 사은품으로 주실수 있는지 궁금합니다.","안녕하세요 고객님
톡톡으로 문의주시면 자세하고 빠르게 답변드리겠습니다!
감사합니다."
"안녕하세요 저 2주전에 pu그린 구매했었는데요
비행기에서 처음 뜯어서 바람을 넣어도 안되길래 보니깐 구멍이 나있어요
호텔가서 테이프 이런거로 막아보려해도 붙지도않구요 
장시간 비행이라 일부러 미리 준비해간건데요 3번비행동안 한번도 못썼어요 
환불 가능한가요?","안녕하세요 고객님 니뜰리히입니다.
먼저 불편을 끼쳐드려 정말 죄송합니다.
해당상품 빠른처리 도와드리기 위해선 카카오톡 니뜰리히 채널에 목베개 바람이 안들어가는 영상 첨부해주시면 확인후에 빠른처리 도와드리겠습니다.
감사합니다."
"안녕하세요. 네이버페이 분쟁조정센터입니다.

판매자님께 확인 요청할 내용이 있어 Q&A 남깁니다.

[주문정보]
구매자명: 서홍미
주문번호: 2023040627492661
상품주문번호: 2023040680103361

[요청사항]
구매자는 우측 뒤쪽 볼트가 안 들어가 여유분으로 준 너트를 끼워 사용해보려고 했으나 심한 소음이 발생하여 상품 불량으로 무상 반품 요청했습니다.

판매자님께서는 반송된 상품 확인 시 정상으로 반품 배송비 4만원 지불 시 환불 가능하다고 하셨으나 구매자는 수긍할 수 없다고 합니다.

전상법 17조 3항에 의거하여 표시, 광고와 다르거나 계약과 다르게 이행된 경우 구매자는 반품을 요청할 수 있으며, 이 경우 전상법 18조 10항에 의거하여 반품 비용은 판매자님께서 부담하게 되어있습니다.

전상법 17조 5항에 의거하여 여러 분쟁 상황 발생 시 판매자님꼐서 증명해 주시게 되어있는데요.

아래 내용 확인 후 회신 기간 내 자세한 답변 부탁드리며, 증빙 자료는 아래 메일로 보내주세요.

-메일 주소: help_paycsrm@naver.com
-메일 제목: 서홍미-니뜰리히

1)불량 여부 확인 요청
-불량이 아닐 경우 정상 여부를 확인할 수 있는 증빙 자료 제공 요청

2)무상 반품 가능 여부 확인 요청
-불가 시 사유 확인 요청
-불가 시 반품 배송비 금액에 대한 증빙 자료 제공 요청

3)무상 반품이 불가할 경우 반품 배송비 조정 가능 여부 확인 요청
-가능할 경우 금액 기재하여 답변 요청
-불가 시 사유 확인 요청

답변 내용은 안내하겠으나 구매자가 미수긍으로 소비자상담센터로 민원 접수하겠다고 할 경우 네이버페이는 결제 대금 보호의 의무가 있어 구매자 결제 금액에 대해 부득이하게 지급 보류되는 점 양해 부탁드립니다.

[민원처리기한] 2023년 4월 28일 낮 12시까지

만약, 기한 내 요청드린 민원이 해결되지 않거나 답변이 없으면 스마트스토어 이용약관 제21조(정산의 보류)에 따라 민원금액만큼 정산 지급보류 처리하겠습니다.

감사합니다","안녕하세요 니뜰리히입니다.
해당 내용 관련하여 메일로 답변 드렸습니다.
메일 확인해주신 후 답변 주시면 감사하겠습니다."
"안녕하세요.
네이버페이 민원처리 담당자입니다.

판매자님께 확인 요청할 내용이 있어 Q&A 남깁니다.

[주문정보]
구매자명: 서홍미
주문번호: 2023040627492661
상품주문번호: 2023040680103361

[요청사항]
판매자님 답변 감사드립니다. 구매자님 재인입되어 다시 한번 환불요청 문의주시어 판매자님께 문의글 드리는 점 양해 부탁드립니다.
소음 부분으로 구매자님과 통화 후 반품 협의되었는지 확인 부탁드리며, 혹여 처리 어려우신 경우 사유에 대해 다시 한번 재확인 부탁드립니다.
추가로 판매자님께 상품을 보내드린 상태라고 말씀해주셨으나 이전 문의글 답변 확인시 불량일 경우 수거를 진행해주신다는 내용이 있는 것으로 보여, 이전에 불량 여부 확인되지 않아 판매자님께 보내드린 상품이 구매자님께 상품이 재반송된 상황인지 여부도 함께 확인 부탁드립니다.

[민원처리기한] 2023년 04월 27일 12시까지

내용 확인 후 민원처리 기한까지 답변 부탁 드리며,
기한 내 요청드린 민원이 해결되지 않거나 답변이 없으면
스마트스토어 이용약관 제21조(정산의 보류)에 따라 민원금액만큼 정산 지급보류 처리하겠습니다.

확인 부탁 드립니다.
감사합니다.","안녕하세요 니뜰리히입니다.
요청사항 확인하였으며, 문의주신대로  파손 불량 사유로 상품 수거를하였고, 파손/불량으로는 우측 뒤쪽 구멍이 막혀서 볼트가 안 들어간다는 사유만 저희에게 말씀해주셔 확인해보니 상품에는 이상이없는것을 사진으로 전달드리면서, 상품에 이상이없어 단순변심 반품으로만 진행이가능해 반품 배송비 입금이되어야 반품처리를 가능하다고 말씀드렸습니다.
소음부분은 민원처리 담당자님 요청사항에서 처음 본 사유이며, 저희쪽에선 파손/불량으로는 처리가 어려워 단순변심으로 반품비 입금받을시 반품처리를 도와드릴수밖에없습니다.
감사합니다."
"안녕하세요.
네이버페이 민원처리 담당자입니다.

판매자님께 확인 요청할 내용이 있어 Q&A 남깁니다.

[주문정보]
구매자명: 서홍미
주문번호: 2023040627492661
상품주문번호: 2023040680103361

[요청사항]
구매자님 뒤쪽 볼트 불량으로 판매자님께 상품 보내드린 이후 반품배송비 4만원이 청구된다는 안내를 받아 네이버페이로 문의하였습니다.
아래 내용 참고하시어 주문건 반품 승인 처리 가능하신 지 답변부탁드립니다.

- 상세 사유: 뒤쪽 볼트 불량, 우측 뒤쪽 볼트가 안들어가 중간에 여유분으로 준 너트를 끼워 넣어 사용하려 했으나, 이용시 소음으로 도저히 사용할수 없었음
- 사용 여부: 미사용
- 반송장번호: 판매자님께 보내드림

1) <반품승인> 처리요청
- 직접 처리 어려우신 경우, 네이버페이에서 직접 환불해도 될지 ""동의여부"" 기재요청.

2) 무상반품 불가시, 반품배송비 금액과 무상반품이 불가한 근거 사유가 무엇인지 답변요청
- 이전에 4만원 반품비용 안내를 받으시어, 해당 금액 조정 가능하신 지 확인요청 

3) 혹여, 반품배송비를 지불하더라도 처리가 불가하다면 근거 사유가 무엇인지 답변요청

[민원처리기한] 2023년 04월 27일 12시까지

내용 확인 후 민원처리 기한까지 답변 부탁 드리며,
기한 내 요청드린 민원이 해결되지 않거나 답변이 없으면
스마트스토어 이용약관 제21조(정산의 보류)에 따라 민원금액만큼 정산 지급보류 처리하겠습니다.

확인 부탁 드립니다.
감사합니다.","안녕하세요 니뜰리히입니다.
문의하신 서홍미 고객님 불량, 파손 반품 건 회수 후 톡 톡으로 우측 뒤쪽 구멍이 막혀서 볼트가 안 들어간다는 말씀을 듣고 검수해 보니 막힌 구멍 없이 정상적으로 볼트가 다 들어가는 것을 확인하였습니다.
그 증거로 고객님 운송장 사진과 뚫려있는 구멍에 볼트를 체결한 사진 첨부하였습니다.
사진 첨부에도 불구하고, 파손/불량 환불을 요청해 어렵다고 말씀드렸습니다.
또한, 이전 상담 내용에서 소음에 관한 말씀은 없으셔서 추가적인 확인이 필요할 것 같습니다. 해당 고객님께 유선상으로 연락드려 불량 부분 확인해 보도록 하겠습니다. 

만약 불량이라고 판단되지 않는다면, 이미 조립하고 사용하신 제품이라 반품이 어려우며 불량일 경우 저희측에서 수거를 진행하도록 하겠습니다.

감사합니다."
"방금 구매했습니다
이번주 토요일에 출국하는데
금요일까지 배송가능한가요?","안녕하세요 고객님
주문해주신 상품 오늘자로 출고되어 송장번호 전달될 예정입니다!
감사합니다."
"안녕하세요. 금방 실크 에어목베개 네이비, 그레이 구매했습니다. 토요일에 여행을 떠나기 때문에 금요일까지 꼭 택배를 받아야하는데 가능할까요?","안녕하세요 고객님
주문해주신 상품 오늘자로 출고되어 송장번호 전달될 예정입니다!
감사합니다."
"2인용 쇼파 구매하고 싶은데 집이 엘리베이터 없는 5층이라 되도록 운반을 도울 수 있는 사람이 있을 때 배송 받고 싶습니다.
배송일 지정은 따로 안 되는 것 같고, 오후 12시 이전 주문 건은 당일 발송, 익일 배송이라고 써 있는데 만약 4/28 금 오후 12시 이전에 주문하면 5/1에 받게 되는 게 맞을까요?","안녕하세요 고객님
문의주신 상품 14시 이전 주문시 당일 출고 원칙으로하며, 출고일 기준으로 1~2일 배송 소요될예정입니다.
감사합니다."
"민트색 방석하나가 누락되었어요
확인부탁드립니다","안녕하세요 고객님
우선 좋은상품으로 배송 해드리지못해 정말 죄송합니다.
문의주신 상품 확인해보니 민트35cm 1개가 누락되어 배송된걸로 확인됩니다ㅜ
오늘자로 누락된 상품 1개 출고 도와드리겠습니다.
불편을끼쳐드려 정말 죄송합니다."
"4/25 화 주문했어요
금요일까지 받을수 있을까요?","안녕하세요 고객님 니뜰리히입니다.
먼저 저희상품 구매해주셔서 대단히 감사합니다.
해당상품 오늘자로 출고되어 송장 등록될 예정입니다.
좋은상품으로 빠른배송 도와드리겠습니다. 감사합니다."
"u형은 전부 품절인데 재입고 예정 없나요?
여행때 쓰고싶습니다 ㅜㅜ",안녕하세요 고객님 니뜰리히입니다. 해당 제품이 입고하였는데 너무 빠르게 품절이 되어버려서 현재 재입고 준비중에 있습니다. 재입고기간은 2주정도 소요될 것 같습니다 ㅜㅜ
"어제 주문했어요
28일 출국 예정인데 빠른 배송 부탁드려요","안녕하세요 고객님
주문해주신 상품 오늘자로 출고 후 송장번호 전달될예정입니다!
감사합니다."
"에어목베개  PU그레이 색상 재입고 안되나요? 핑크, 네이비, 그레이 요렇게 가족당 하나씩 살려고 장바구니에 담아놨다가 지금 결제하러 들어오니 그레이가 구매불가로 나와서..ㅜㅜ
다음주 5월4일에 해외여행을 가서 빨리 구매해서 비행기에서 쓸려고 하는데 재입고 여부 알려주세요~","안녕하세요 고객님
문의주신 상품 PU-그레이색상은 이번주 목요일에 재입고될예정입니다ㅜ
좋은답변드리지못해 죄송합니다."
"에어목배게 수납백에 목배게 한개밖에 안들어 가나요??
일반으로 두개 들어가는지 문의 드립니다.",안녕하세요 고객님 니뜰리히입니다. 수납백에 1개 들어가도록 제작하였습니다! 감사합니다.
배송 언제 되나요 빨리 받아 봐야 해서 문의 드립니다,"안녕하세요 고객님
주문해주신 상품 오늘자로 출고 후 송장번호 전달될예정입니다!
감사합니다."
"에어목베개 4개 주문했어요.
이번주 화요일까지 받을 수 있을까요?
제가 수요일 늦게 써야 해서요. 꼭 부탁드립니다.",안녕하세요 고객님 니뜰리히입니다. 주문해주신 제품 금일 출고되어 택배사 특이사항만 없다면 화요일까지 받아보실 수 있으실 것으로 예상됩니다!
"제품 받아서 테스트중인데 미세하게 바람이 빠지는거 같네요
바람 가득 채우고 몇시간 있으면 미세하게 바람이 빠져 나가는건지 빵빵함이 없어지는데 이게 정상인가요? 반품/교환 가능한지요?",안녕하세요 고객님 니뜰리히입니다. 상세페이지상의 내용처럼 해당 제품은 재질 특성상 에어 빠짐이 있습니다. 지속적으로 노력하여 추후 방문시에는 더 좋은 제품 제공해드릴 수 있도록 하겠습니다.
패브릭원단 물빨래 가능한가요?,"안녕하세요 고객님
문의주신 상품 물빨래는 권장드리지않으며 베이킹소다 또는 베이킹소다가 들어간 세제로 거품을 내주신뒤 마른천에 물을 묻힌뒤 거품을 닦아주시면됩니다!
감사합니다"
"실크 PU 재질 어떻게 다른가요?
PU는 튜브처럼 고무 재질이 바로 느껴지나요?",안녕하세요 고객님 니뜰리히입니다. 실크의 경우 약간 부드러운 재질이고 PU는 벨벳처럼 약간 마찰력이 있는 소재입니다. 튜브같은 느낌과는 다릅니다. U형과 H형은 내피 외피가 구분되어 있는데 내피가 튜브같은 재질입니다.
실크 제품으로 구매했는데 세탁은 어떻게 하나요?,"안녕하세요 고객님 니뜰리히입니다.
문의주신 해당상품 손세탁을 권장드립니다.
감사합니다."
"실크-블랙 현재 품절이라 재입고 후 출고 해주신다는 문자 받았습니다.
재입고시 다른 색상도 입고 되면 블랙 말고 그레이로 받을 수 있을까요?",안녕하세요 고객님 니뜰리히입니다. 넵 그레이 색상으로 변경 가능합니다. 저희 톡톡으로 원하시는 색상 확정해주시면 해당 색상으로 출고 도와드릴 수 있도록 하겠습니다!
"4월 18일에 주문했는데, 언제 발송되나요? 급합니다..
하자없는거로 빠른 배송 부탁드려요","안녕하세요 고객님
문의주신 상품 문자로 사유 보내드렸습니다.
불편을끼쳐드려 정말 죄송합니다."
"오늘 발송되나요?
토요일새벽에 써야하는데 ㅜㅜ","안녕하세요 고객님 니뜰리히입니다. 
먼저 저희제품 구매해주셔서 감사합니다.
해상상품 오늘자로 출고되어 송장번호 받아보실수있습니다. 감사합니다."
PU 그레이는 입고 안될까요?ㅠㅠㅠ,"안녕하세요 고객님 니뜰리히입니다.
에어목베개 PU-그레이 상품은 재입고 중이며 5월초정도 입고예정에 있습니다. 감사합니다."
에어목베개 실크 그레이 재입고 예정없나요?,안녕하세요 고객님 니뜰리히입니다. 답변이 늦었습니다. 해당 색상은 다음주 월요일쯤 입고될 예정입니다. 감사합니다.
리뷰 작서 했는데 만원 페이백 주는거 맞나요??,"안녕하세요 고객님 니뜰리히입니다.
적어주신 리뷰 저희 네이버 톡톡을 통해 전달해주시면 확인 후 페이백 도와드리고 있습니다.
감사합니다 :)"
"상품 와이프가 주문해서 받았습니다 너무 예쁘긴한데, 냄새가 좀 심하네요
이거 방법이 있을까요?",안녕하세요 고객님 니뜰리히입니다. 해당 제품이 메모리폼을 소재로 사용하다보니 냄새가 날 수 있습니다. 환기가 잘 되는 곳에 놔두시면 냄새는 금방 날라가십니다. 감사합니다.
조립했는데 나사가 하나 남는데...한개가 남은게 맞나요? 긴 검은색테이프같은 스티커도 있던데  이용도는 뭔가요??,"안녕하세요 고객님 니뜰리히입니다.
저희 상품은 혹시 모를 상황을 위해 볼트 세트를 한 개 더 추가로 전달드리고 있습니다.
또한 검은색 테이프는 미끄럼방지 테이프로 다리 하단부에 붙여주시면 됩니다 !
감사합니다 :)"
여행용 목베개 에어펌프 딥그린이나 브라운 색상 재입고 될까요?,안녕하세요 고객님 니뜰리히입니다. 브라운 색상의 경우 빠르면 다음주중으로 입고될 예정입니다. 딥그린색상은 아직 제작중에 있습니다. 감사합니다.
스툴만 따로 구입할순 없나요?,"안녕하세요 고객님
문의주신 상품 스툴은 세트상품으로 개별구매가 어렵습니다ㅜ
좋은답변 드리지못해 죄송합니다."
상품설명 중에서 흰색 플라스틱 의자 3개 나온 사진에 설치된 제품은 35센티 짜리인가요 아니면 40짜리인가요? 저희집 의자와 비슷해서 크기가 궁금합니다.,"안녕하세요 고객님
문의주신 상품 방석 사이즈 35cm 사이즈로 확인됩니다!
감사합니다."
제질문에는 왜 답변없으신가요? 물건 잘못 왔어요 빨리 보내주세요  일정때매 급한데 난감하네요.,"안녕하세요 고객님 니뜰리히입니다. 
먼저 불편을 끼쳐드려 정말 죄송합니다. 톡톡으로 처리 도와드리겠습니다."
"안녕하세요 지금 H형 2개 주문했는데
내일 발송 가능할까요?","안녕하세요 고객님 니뜰리히입니다.
주문확인되어 오늘자로 발송 도와드릴 예정입니다. 감사합니다."
H형은 무게가 어떻게 되나요? 일반형에어목베개랑 차이가 많이 날까요?,안녕하세요 고객님 니뜰리히입니다. H형의 경우 110g 으로 일반과 20g 정도 차이가 납니다. 감사합니다
"패브릭도 천인가요?
앉았을때 살짝 미끄러울까요?

그리고 엉덩이 부분의 스펀지가 꺼지면as받을수있나요?",안녕하세요 고객님 니뜰리히입니디. 넵 패브릭도 천입니다. 미끄럼 정도에 대해서는 주관적인 부분이 있을 수도 있을 것 같습니다. 앉았을때 미끄럽다고 느껴지지는 않습니다. 엉덩이 부분 내부 충전재는 솜으로 되어있어 as가 가능합니다. 만약 과정이 번거로우시다면 인터넷에서 구름솜을 검색하셔서 쿠션의 탄성이 많이 떨어졌을때 교환해주셔도 됩니다. 감사합니다.
베이직행거 600 짜리 화이트는 없나요ㅜㅜ,안녕하세요 고객님 니뜰리히입니다. 아직까지 저희가 행거 판매량이 높지 않아서 ㅜ 블랙색상으로만 생산하여 판매중에 있습니다. 저희가 추후 조금 더 성장하면 화이트 행거 600도 출시하도록 하겠습니다 ㅜ 방문해주셨는데 아쉬움을 드려 죄송하다는 말씀드립니다.
오늘 오전에 주문했는데 금일 출고 되나요? 내일까지 받을 수는 없겠죠?,안녕하세요 고객님 니뜰리히입니다. 해당 제품 금일 점심쯤에 출고되셨습니다. 빠르면 내일 받아보실 수 있으실 것 같습니다 ㅎ
"상품이 한개가 잘못왔어요   그레이 목베개가 아닌, 그레이 방석?이 왔네요. 다시 빨리 보내주세요~~!
오배송온 그레이 방석은 회수택배 해가시기 바랍니다.","안녕하세요 고객님 니뜰리히입니다. 
먼저 불편을 끼쳐드려 정말 죄송합니다. 톡톡으로 처리 도와드리겠습니다."
"주요정보 란에
스톨 (오토만) 포함 
이렇게 기재 되어 있는데 무슨뜻 인가요??",안녕하세요 고객님 니뜰리히입니다. 상세페이지에 큰의자 앞에 있는 작은 의자를 스툴이라고 봐주시면 됩니다! 해당 제품 구매시 의자와 작은 의자 이렇게 세트로 보내드리고 있습니다.
"안녕하세요, 톡 드렸는데 답변이 없어서요..  다음주 초에 바로 받을 수 있는 수량이 몇개일까요? 그레이와 네이비요..",안녕하세요 고객님 니뜰리히입니다. 현재 구매팀쪽에서 회신이 늦어 답변이 늦어지고 있습니다ㅜ 전달받는대로 저녁 늦게라도 답변드리도록하겠습니다.
재고문의 드려요 네이비 300 그레이 200 입니다.,안녕하세요 고객님 니뜰리히입니다. 해당 수량이 현재 입고중에 있어 필요하신 날짜 톡톡으로 말씀해주시면 안내해 드리도록 하겠습니다.
뷰클레 원단은 세탁을 위해  겉피를 벗길수 있나요?(지퍼 유 무),안녕하세요 고객님 니뜰리히입니다. 프리다 흔들의자의 경우 지퍼가 있어 커버를 탈착하실 수 있으십니다. 감사합니다 ㅎ
통째로빨수있나요?,"안녕하세요 고객님 니뜰리히입니다. 
해당 상품 커버분리가 되는상품이며,  커버는 분리세탁하셔도 괜찮습니다. 다만, 메모리폼의 경우 세탁기 사용시 변형되거나 부서질수 있어서 권장드리지 않습니다."
"안녕하세요.
판매자님.
주문한 제품 오늘 수령하였습니다.
배송받은 실크-그레이2개 / 실크-그린2개 중, 실크-그레이 1개 제품이 바람이 새고 있습니다.

펌핑을 하면 반대편에 위치한 투명주입구(닫아두어도)에서 바람이 빠져버립니다.(귀를 대면 빠지는 소리와 바람이 느껴집니다)
투명주입구와 회색천 사이가 밀폐가 되지 않은 것으로 보입니다.
토요일 출국예정이라 빠른 교환부탁드릴게요.
** 잠시 전 톡톡메시지와 이메일(동영상송부_소리들어주세요) 송부드렸어요. 뻐른 처리 부탁드려요.","안녕하세요 고객님 니뜰리히입니다.
먼저 불편을 끼쳐드려 정말 죄송합니다.
해당 상품 톡톡으로 연락드린대로 오늘자로 실크-블랙 상품으로 배송 도와드리겠습니다.
해당 상품 송장번호는 톡톡으로 남겨드리겠습니다. 감사합니다."
실크 그레이 언제 재입고 되나요?,"안녕하세요 고객님
문의주신 상품 재고소진으로 4월말에 재입고될예정입니다.
좋은답변 드리지못해 죄송합니다."
의자다리를 높은걸로 바꿀수 있을까요?,"안녕하세요 고객님
문의주신 상품 다리교체는 불가능합니다ㅜ
좋은답변 드리지못해 죄송합니다."
"패브릭이 어떤느낌인건가요?
가죽같은느낌인가요????","안녕하세요 고객님
문의주신 상품 패브릭 소재는 가죽과는 다른소재이며, 생활방수와 오염방지에 탁월하여 관리하기가 편한 소재입니다!
감사합니다."
오늘 배송이 될까요?,"안녕하세요 고객님
주문해주신 상품 오늘자로 배송될예정입니다!
감사합니다."
"토욜 주문했는데
급하게 사용해야할것같아서요
오늘 바로배송 가능할까요","안녕하세요 고객님
주문해주신 상품 주말에는 배송이되지않아, 오늘자로 출고될 예정입니다!
감사합니다."
목베개랑 같이 사려고하는데 배송비가 따로따로 나오네요?? 별개로 주문이 되는건가요?,안녕하세요 고객님 니뜰리히입니다. 두 제품의 경우 출고지가 달라 배송비가 별도로 부과되고 있습니다ㅜ
"본품 색깔이랑 핸드폰 주머니 색깔 세트로 오나여?
색깔 맞춰서 세트로 사고싶은데 주문서에는 블랙이라고 나와요ㅠㅠ",안녕하세요 고객님 니뜰리히입니다. 추가상품의 경우 핸드폰 주머니가 아닌 핸드폰 거치대 제품입니다! 핸드폰 주머니는 기본 구성에 포함되어 있으십니다. 감사합니다.
"1년 쯤 사용중인데
방석쿠션 등쿠션 모든쿠션이 낡아서
쿠션만 따로 구매가능한가요?","안녕하세요 고객님
문의주신 상품 사진찍어서 톡톡으로 올려주시면 빠르게 처리 도와드리겠습니다.
감사합니다."
"에어목베개 / PU_그린, PU_그레이, PU_네이비, 에어목베개 / 실크_그레이, U형 에어목베개 / 벨벳__네이비 각각 1개씩, 총 5개를 구매하여 오늘 4월8일(토)에 배송을 받았습니다.  U형 에어목베개가 너무 편하여 나머지를 모두 반품하고 U형 에어 목베개 2개를 더 주문하려고 합니다. 에어목베개 / PU 3개와 에어목베개 / 실크_그레이 1개 총 4개를 반품하고 싶습니다, U자형을 제외한 다른 상품은 포장 뜯지도 않았어요.  반품신청 하면 되나요? 답변받고 반품 신청하겠습니다.","안녕하세요 고객님
문의주신 상품 톡톡으로 답변주시면 빠르게 처리 도와드리겠습니다.
감사합니다."
커버 분리 안 되는 상품이죠?,안녕하세요 고객님 니뜰리히입니다. 커버분리 가능하십니다. 감사합니다.
"안녕하세요. 방금 네이비 150개, 그린 70개 주문했습니다.
혹시 대량구매하면 가격조정이 가능할까요?",안녕하세요 고객님 니뜰리히입니다. 해당 제품의 경우 저희도 마진을 남기고 판매하는 제품이 아니라서 가격조정이 어렵습니다 ㅜ U자형이나 H형의 경우에는 가격조정이 가능합니다.
"팔걸이 다 펼치면 가로 길이가 어떻게 되나요? 1,2인용 각각 알려주세요~^^","안녕하세요 고객님 니뜰리히입니다. 
말씀해주신 상품 팔걸이 양쪽 펼쳤을시에
1인용 - 140cm 2인용 - 170cm 입니다.
감사합니다."
주문 넣었습니다. 하자없는 새상품으로 검수해서 빠른 발송 부탁드립니다. 감사합니다.,"안녕하세요 고객님
주문해주신 상품 오늘자로 출고될예정입니다
감사합니다."
실크랑 pu소재 세탁 가능한가요?,"안녕하세요 고객님
문의주신 실크 pu 소재는 손세탁을 권장드립니다.
감사합니다."
"재고문의드려요, 목베개 2800원 단가 그린 60개, 네이비 150개 있을까요?",안녕하세요 고객님 니뜰리히입니다. 재고 있어서 구매가능하십니다. 감사합니다.
"급하게 4개 주문했고,하자없는걸로 부탁드려요.
이번주 금요일 비행이라 낼 꼭 받았으면 합니다.",안녕하세요 고객님 니뜰리히입니다. 좋은 제품으로 금일 발송해드리도록 하겠습니다!
미끄럼방지 패드 주문해서 받았는데 어떻게 사용하는 건가요? 그냥 의자바닥에 놓는 건가요?,안녕하세요 고객님 니뜰리히입니다. 미끄럼방지패드는 방석 밑에 두시고 사용해주시면 덜 미끌거리게 사용하실 수 있습니다. 감사합니다.
"안녕하세요
2023040589797731 : 구매내역
상기건으로 4개 (실크2 + pu2) 구입하였는데
검수잘하셔서 하자없는 상품으로 금일배송 부탁드리겠습니다.",안녕하세요 고객님 니뜰리히입니다. 좋은 제품으로 금일 발송해드리도록 하겠습니다!
사이즈 더 크게 만들계획은 없나요??,안녕하세요 고객님 니뜰리히입니다. 현재 45cm의 경우 사각방석으로 제작을 준비하고 있습니다. 원형방석 또한 요청해주시는 고객님들이 많을 경우 판매량이 좋은 색상으로 먼저 45cm가 생산될 수 있습니다.
후기 보니 사이드가 좀 울퉁불퉁하게 보이는게 있는데 마감처리 잘 좀 부탁드립니다!,"안녕하세요 고객님
주문해주신 상품 원단 특성상 지퍼 끝부분이 울렁거림이있을수있습니다.
좋은상품으로 배송 도와드리겠습니다
감사합니다"
